test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
route_0_adverse_weather,24.0,8.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999999997725375,1.0,0.05107961481440948,0.6237255684566285,0.6182425166308598,3987.8545914347515,0.016231036619332645,2.132131951084965,0.12243422450234412,[ 7.59159159 11.57957958 15.85585586],[0.13492733 0.1250576  0.13866306],[ 2.54654655  5.18918919  9.65765766 21.09309309 23.97597598],[0.10620319 0.11115702 0.11973844 0.11925901 0.1103378 ],0.013382884230316422,0.006820600880431
route_0_normal_weather,24.0,9.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999752552660242,1.0,0.08778344848844753,0.5638025108024276,0.5610514404430876,10857.235505013918,0.011704812729061098,2.270500396288119,0.11968341096321791,[ 7.44744745 12.15615616 15.32732733],[0.12651164 0.12335187 0.13138822],[ 2.4984985   5.04504505 20.32432432],[0.1079786  0.11196757 0.11743897],0.01087455877648361,0.005545993221764166
route_1_adverse_weather,24.0,8.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999999999993798,1.0,0.03768120293132967,0.6353777789174665,0.6301502201922689,4233.6477328515075,0.012222357241810915,-3.031526844905466,0.13059502283808147,[ 7.59159159 11.57957958 14.7027027  18.01801802 21.38138138],[0.14121344 0.14281635 0.14190589 0.13860975 0.13206441],[ 2.78678679  4.9009009  23.63963964],[0.11837267 0.12203415 0.12440853],0.011401175650881718,0.005810724460484402
route_1_normal_weather,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999989407004231,1.0,0.08383770707086989,0.6404924677530459,0.6380113943766004,11121.37790380499,0.012176578668790787,-3.0818426431611585,0.13030557711953158,[ 7.63963964 11.77177177 14.60660661 21.23723724],[0.13631957 0.14248083 0.14178018 0.13202332],[ 3.36336336 20.03603604 23.11111111],[0.11813039 0.13014904 0.12586605],0.01054629750562178,0.005378615578892375
route_2_adverse_weather,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,0.22799834415924464,0.5317810538153915,0.5233674159684084,3217.1842693321933,0.027687355051500828,2.182447749340657,0.153629351013896,[ 7.92792793 10.90690691 12.49249249 15.66366366],[0.17764119 0.15681993 0.15713447 0.18131225],[ 3.98798799  9.70570571 21.66966967 23.68768769],[0.12594659 0.15291522 0.13732409 0.13401087],0.02808270189208114,0.01431259111041814
route_2_normal_weather,24.0,9.0,1.1102230246251565e-16,1.1102230246251565e-16,0.999999999944776,1.0,0.30846342584190645,0.5911386713292603,0.5885752774190989,9114.02929908484,0.022455148449132753,2.182447749340657,0.1502172036450432,[ 7.73573574 11.14714715 15.66366366],[0.16570137 0.15581439 0.17266745],[ 1.48948949  3.6996997  22.24624625],[0.13082751 0.12776206 0.13984121],0.02032434049312551,0.01036538034337393
route_3_adverse_weather,24.0,6.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,0.3541077048150755,0.5229030946546568,0.5177545668991315,2939.5211678226046,0.032043906105218734,2.0440793041375027,0.16484324386680654,[11.91591592 16.19219219],[0.17313185 0.19688367],[0.43243243 4.46846847],[0.13279964 0.13615339],0.03501356607754194,0.017844948321278396
route_3_normal_weather,24.0,7.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,0.3420097235873527,0.6848532146062289,0.6833110772432396,8914.442069500761,0.02380113533523158,2.19502669890458,0.1565925169534827,[11.53153153 15.61561562],[0.17601315 0.18039365],[23.97597598],[0.13279158],0.021438389523605134,0.010933527405485964
route_4_adverse_weather,24.0,7.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999027342132405,1.0,0.23350954029054558,0.5389021585913897,0.5330229511417353,3133.912848982969,0.025009680466693933,-2.0755266780473107,0.14290137624319516,[ 7.92792793 11.77177177 16.0960961 ],[0.16790402 0.15200783 0.16253641],[1.53753754 4.9009009 ],[0.1178917  0.12100432],0.02861397732631402,0.01458314333336168
route_4_normal_weather,24.0,9.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9963625721451983,1.0,0.2879137157762036,0.6118428045097514,0.6093972919025324,9162.03450941002,0.019260605817773765,2.119553001521041,0.139617291033448,[ 7.35135135 12.2042042  15.9039039 ],[0.15161326 0.15078414 0.1588779 ],[0.67267267 2.16216216 4.75675676],[0.12035693 0.12118103 0.12279237],0.0196837651192888,0.010038667205542499
route_5_adverse_weather,24.0,6.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999999983845418,1.0,0.02311065442282647,0.3494511729185946,0.3423799900155359,4438.950331807797,0.006257244245233641,2.19502669890458,0.05953620681987425,[ 7.54354354 11.67567568 15.61561562],[0.06456321 0.06018985 0.06579345],[ 1.2012012   4.61261261  9.94594595 12.97297297 18.73873874 22.05405405],[0.05327896 0.05424085 0.05839647 0.05938422 0.05824461 0.05605049],0.008977306744415112,0.004575321167829871
route_5_normal_weather,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.8658383703889097,1.0,0.015302510414502493,0.505630153158475,0.5021742297272165,13412.973677627222,0.004212674999830902,2.3082372449798876,0.05780195339155936,[ 7.35135135 11.96396396 15.18318318],[0.06047886 0.05992229 0.06201381],[0.96096096 3.74774775],[0.05358928 0.05483748],0.004534759639440797,0.0023127165751198626
