test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
route_0,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999895594548658,1.0,0.13957670197587788,0.5709262810117197,0.5687597891208422,14774.819593464883,0.012293972115603957,2.295658295415965,0.1202279188950407,[ 7.4954955  12.25225225 15.23123123],[0.12915459 0.12425654 0.13252189],[ 2.4984985   5.14114114 20.70870871],[0.10793408 0.11226664 0.11788607],0.011638174459930239,0.005936138769690823
route_1,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9967090402181598,1.0,0.12195969017132637,0.6353714160210321,0.6335613957481159,15334.636076711751,0.012162220884767469,-3.0944215927250815,0.13052281308741853,[ 7.54354354 11.81981982 14.60660661 21.28528529],[0.13730809 0.14268407 0.14196597 0.13198969],[ 3.17117117 23.3033033 ],[0.11836059 0.12569049],0.010786687580278143,0.005501859839685025
route_2,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999999999999918,1.0,0.5325679343204586,0.5642253412299856,0.5620481008664082,12257.505310939174,0.024177673731710744,2.19502669890458,0.15139087124034928,[ 7.83183183 10.81081081 12.44444444 15.61561562],[0.16877459 0.15606614 0.15556069 0.17556373],[ 3.93993994 21.95795796],[0.1272132  0.13949075],0.022613830750704618,0.01153439213520453
route_3,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,0.6636899494737181,0.6225962755303619,0.6206997744023738,11735.65863050102,0.025432166469773393,2.257921446724196,0.15721181978796317,[ 8.07207207 11.91591592 15.37537538],[0.15798076 0.17523313 0.18264326],[23.87987988],[0.13178167],0.025317526249294706,0.01291341429336136
route_4,24.0,9.0,1.1102230246251565e-16,1.1102230246251565e-16,0.7390842341052575,1.0,0.5029798797050343,0.5839212317840063,0.5820337776943167,12240.333986938665,0.020078451304484976,2.1447109006488887,0.13994299342361716,[ 7.3993994  12.25225225 15.80780781],[0.15400149 0.15125098 0.1600205 ],[0.62462462 2.16216216 4.9009009 ],[0.1198653  0.12050894 0.12216371],0.022073441943310974,0.011258731823095067
route_5,24.0,9.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999976335058287,1.0,0.033251036730735324,0.4348529275035511,0.4322969859696475,17714.753953926716,0.004646477120824975,2.232763547596349,0.05829259029998839,[ 7.3993994  11.14714715 15.47147147],[0.06138766 0.05999123 0.06293907],[0.72072072 4.9009009  9.12912913],[0.05364655 0.05487553 0.05812082],0.005666843823338774,0.002890420703270252
