route_id,model_type,p,RSS,R2,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,params,values,pvalues
0,lin,1.1477233919426596e-44,0.001976787574306024,0.7230290694379888,0.7225292202067334,0.014599542566021447,0.6852229196622721,0.16184951368354547,"['conts', '1016-140', '1034-216-1', '1038-276', '1025-116']","[0.1094302672442418, -4.9645399852974595e-06, -1.3224077193809034e-05, 5.0279396870056334e-05, 5.213644163929504e-05]","[2.4918794437246597e-211, 0.08045893949472871, 0.04188448357754157, 1.4384266978528174e-05, 0.0005933040189828039]"
0,exp,4.977780016431729e-44,0.14973190876988465,0.7180051233907083,0.7174769115901163,0.01452417301057575,0.6823144182697556,0.1586900692497863,"['conts', '1016-140', '1034-216-1', '1038-276', '1025-116']","[-2.212518986816554, -3.6129199058430694e-05, -0.00010392621566176792, 0.000407394180392764, 0.00043747049600548123]","[2.762817501709063e-271, 0.14326998765826357, 0.06585420184301616, 5.0436751983876714e-05, 0.0009146825061477095]"
1,lin,3.859182617252807e-30,0.0037664263929498647,0.5803339992291854,0.5812814096777481,0.011792579995521635,0.5046087256708071,0.14804222247794704,"['conts', '1016-140', '1947-211']","[0.12164361906612614, 1.0014709826573917e-05, 0.00011192946404226037]","[4.33699064474602e-190, 2.036731769149308e-07, 4.0460316156445827e-05]"
1,exp,9.229552641707423e-30,0.23615227410370312,0.575616269309365,0.5765385670413086,0.011510273241081854,0.49666840076952334,0.1489908361208691,"['conts', '1016-140', '1947-211']","[-2.107380755725034, 7.961441643968649e-05, 0.0008617374153665756]","[4.976022066922948e-243, 1.8392015781109218e-07, 6.419496058881903e-05]"
2,lin,1.859160680294429e-112,0.12774125852356186,0.5258634561658176,0.5267194821113297,0.025818482615072035,0.5593156778561845,0.1577195253145109,"['conts', '1935-230']","[0.13531899755891796, 0.00014298291554804435]","[0.0, 1.8591606802944578e-112]"
2,exp,2.140432914093077e-130,4.31359103160632,0.579968550242606,0.580196306719144,0.017806136863025537,0.5868131735408628,0.12714927381981803,"['conts', '1935-230']","[-2.000211488307856, 0.0009270743671404616]","[0.0, 2.1404329140919517e-130]"
3,lin,3.43696107329702e-95,0.0035371775790535654,0.9236191563644663,0.9234779451075731,0.003298134597411922,0.9184517869770804,0.033340232003068446,"['conts', '1014-150']","[0.12954098082356028, 3.627764931168997e-05]","[5.665216201838009e-215, 3.4369610732956535e-95]"
3,exp,4.050649619047967e-96,0.15244305276261438,0.9255493909975773,0.9255624405754294,0.0026933678532902895,0.918854025269772,0.028144618323405583,"['conts', '1014-150']","[-2.039619079709752, 0.00024147710301643079]","[2.460005591154314e-278, 4.050649619050832e-96]"
4,lin,2.3170722957815206e-166,0.10793769585338171,0.6742847763416788,0.6747965908714665,0.007944349624126627,0.6780735745536697,0.07598766712865337,"['conts', '1001-156', '1021-156']","[0.11780569755112706, 2.6320999251699176e-05, 2.3532875645878707e-05]","[0.0, 6.845270666625168e-05, 5.4647941218573175e-06]"
4,exp,2.8201886087079687e-204,3.419001890966235,0.7480442073766538,0.7483339006237766,0.0062406724226684715,0.7470655132720758,0.06008962131765265,"['conts', '1001-156', '1021-156']","[-2.1276837116158402, 0.00024186720922587994, 0.00010808667833595671]","[0.0, 1.1991192326945637e-10, 0.00019971737338111563]"
5,lin,3.0893263209473844e-101,0.015261746070884956,0.5123444661397698,0.5140580825713574,0.01721796545322917,0.41340028139487595,0.2306072762867773,"['conts', '0174-1', '0855-1', '1010-1']","[0.052912948609942397, -1.4106025936344127e-05, 1.3534746409889022e-05, 6.159198801073898e-06]","[0.0, 4.272613739778517e-21, 8.86713605857801e-22, 0.026076420633210824]"
5,exp,3.9589838018536417e-118,2.6428835396215065,0.5672581372130081,0.5688683780940724,0.013312569590365895,0.513835698475372,0.16397356759206597,"['conts', '0174-1', '0855-1', '1010-1']","[-2.930432917408268, -0.00015662850679376434, 0.00016912455225957243, 6.929038522636652e-05]","[0.0, 9.794569764876381e-16, 6.483704816033256e-20, 0.05701838433332418]"
