date,hour,route_id,workday,weather,pace,1016-140,1034-216-1,1038-276,1025-116,1947-211,1946-230-1,1935-230,1035-136,1014-150,1001-156,1021-156,0174-1,0855-1,1010-1
2020-10-05,9,5,1,good,0.05962222757310645,,,,,,,,,,,,2209.0,2210.0,1682.0
2020-10-05,10,0,1,good,0.13011314186248912,,555.0,,,,,,,,,,,,
2020-10-05,10,1,1,good,0.1453300009256688,,,,,,,,,,,,,,
2020-10-05,10,2,1,good,0.16920220954450785,,,,,,,114.0,,,,,,,
2020-10-05,10,3,1,good,0.18573446327683618,,,,,,,,,,,,,,
2020-10-05,10,4,1,good,0.16035292213048405,,,,,,,,,,812.0,985.0,,,
2020-10-05,10,5,1,good,0.060491746261069644,,,,,,,,,,,,1997.0,2006.0,1486.0
2020-10-05,11,0,1,good,0.1286142539406247,,583.0,,,,,,,,,,,,
2020-10-05,11,1,1,good,0.1527816347310932,,,,,,,,,,,,,,
2020-10-05,11,2,1,good,0.1686588789278276,,,,,,,93.0,,,,,,,
2020-10-05,11,3,1,good,0.20165145588874403,,,,,,,,,,,,,,
2020-10-05,11,4,1,good,0.16727375748745343,,,,,,,,,,761.0,1041.0,,,
2020-10-05,11,5,1,good,0.06225753805816411,,,,,,,,,,,,2140.0,2188.0,1578.0
2020-10-05,12,0,1,good,0.1278648099796925,,613.0,,,,,,,,,,,,
2020-10-05,12,1,1,good,0.152550217532167,,,,,,,,,,,,,,
2020-10-05,12,2,1,good,0.1691116544417278,,,,,,,118.0,,,,,,,
2020-10-05,12,3,1,good,0.18155149934810952,,,,,,,,,,,,,,
2020-10-05,12,4,1,good,0.16476444876153473,,,,,,,,,,831.0,1031.0,,,
2020-10-05,12,5,1,good,0.061240870053776396,,,,,,,,,,,,2211.0,2188.0,1512.0
2020-10-05,13,0,1,good,0.13066918093027755,,647.0,,,,,,,,,,,,
2020-10-05,13,1,1,good,0.1496806442654818,,,,,,,,,,,,,,
2020-10-05,13,2,1,good,0.16426695644299555,,,,,,,154.0,,,,,,,
2020-10-05,13,3,1,good,0.17926988265971314,,,,,,,,,,,,,,
2020-10-05,13,4,1,good,0.16245750364254494,,,,,,,,,,867.0,1008.0,,,
2020-10-05,13,5,1,good,0.06043823741873344,,,,,,,,,,,,2357.0,2286.0,1713.0
2020-10-05,14,0,1,good,0.13446475195822455,,778.0,,,,,,,,,,,,
2020-10-05,14,1,1,good,0.15014347866333425,,,,,,,,,,,,,,
2020-10-05,14,2,1,good,0.17232636059041928,,,,,,,256.0,,,,,,,
2020-10-05,14,3,1,good,0.18155149934810952,,,,,,,,,,,,,,
2020-10-05,14,4,1,good,0.1734660838594787,,,,,,,,,,860.0,977.0,,,
2020-10-05,14,5,1,good,0.06240468737458865,,,,,,,,,,,,2606.0,2743.0,1909.0
2020-10-05,15,0,1,good,0.1595106856203462,,872.0,,,,,,,,,,,,
2020-10-05,15,1,1,good,0.14866240859020644,,,,,,,,,,,,,,
2020-10-05,15,2,1,good,0.21112922213166715,,,,,,,244.0,,,,,,,
2020-10-05,15,3,1,good,0.25852890047805305,,,,,,,,,,,,,,
2020-10-05,15,4,1,good,0.19232637202525496,,,,,,,,,,894.0,942.0,,,
2020-10-05,15,5,1,good,0.07492575648125853,,,,,,,,,,,,2625.0,3085.0,1939.0
2020-10-05,16,0,1,good,0.17135673532540374,,801.0,,,,,,,,,,,,
2020-10-05,16,1,1,good,0.15537350735906694,,,,,,,,,,,,,,
2020-10-05,16,2,1,good,0.24273295300190165,,,,,,,272.0,,,,,,,
2020-10-05,16,3,1,good,0.2380486744893525,,,,,,,,,,,,,,
2020-10-05,16,4,1,good,0.18912902703577786,,,,,,,,,,877.0,969.0,,,
2020-10-05,16,5,1,good,0.06303341627203896,,,,,,,,,,,,2565.0,2924.0,2021.0
2020-10-05,17,0,1,good,0.13492408857944105,,789.0,,,,,,,,,,,,
2020-10-05,17,1,1,good,0.1441266314912524,,,,,,,,,,,,,,
2020-10-05,17,2,1,good,0.17875577288780223,,,,,,,210.0,,,,,,,
